Transaction_Amount,Transaction_Time,Customer_Age,Customer_Region,Merchant_Category,Card_Type,Transaction_Mode,Previous_Fraud_Flag,Fraud
1873.3,467.8,39,West,Travel,Debit,Online,0,0
4753.6,404.8,19,South,Travel,Prepaid,ATM,0,0
3660.2,193.8,21,South,Health,Debit,POS,0,0
2993.7,934.6,62,South,Retail,Debit,POS,1,0
780.9,647.5,30,South,Food,Credit,Online,0,0
780.8,2007.7,49,East,Electronics,Prepaid,POS,0,0
291.4,32.6,39,South,Electronics,Debit,Online,0,0
4331,1032.5,42,South,Health,Credit,POS,0,0
3006,1439.5,44,East,Retail,Debit,ATM,0,0
3540.7,1425,34,West,Food,Prepaid,POS,0,1
103.9,2172.2,23,East,Travel,Credit,Online,0,0
4849.6,1305.8,60,South,Health,Prepaid,POS,0,0
4162.4,2628.5,68,North,Food,Debit,Online,0,0
1062.5,404.5,33,East,Food,Credit,Online,0,0
909.9,699.6,25,East,Food,Debit,Online,0,0
917.8,14.2,50,West,Retail,Debit,ATM,0,0
1521.9,7,27,South,Food,Prepaid,ATM,0,0
2624.3,274.6,51,North,Retail,Credit,POS,0,0
2160.3,106.3,36,East,Retail,Debit,Online,0,0
1456.9,301.4,31,East,Food,Prepaid,ATM,0,0
3059.7,194.9,20,East,Travel,Prepaid,Online,0,0
698.3,28.9,58,North,Food,Credit,POS,0,0
1461.4,2400.2,40,East,Travel,Debit,Online,0,0
1832.4,8.3,57,East,Health,Credit,ATM,0,0
2280.9,1332.1,28,North,Electronics,Credit,ATM,0,0
3926.1,165,64,East,Health,Debit,Online,0,0
999.2,2433,23,North,Retail,Credit,Online,0,0
2571.7,2233,51,West,Health,Credit,Online,0,0
2962.5,1061,18,North,Electronics,Credit,Online,0,0
233.2,1115.5,52,West,Electronics,Prepaid,Online,0,0
3038.1,5.4,42,North,Travel,Debit,Online,0,1
853.5,4191.2,46,South,Health,Credit,POS,0,0
326.2,2102.4,40,East,Retail,Prepaid,POS,1,0
4744.5,2254.8,35,West,Retail,Prepaid,ATM,0,0
4828.2,1076.6,31,East,Travel,Credit,Online,0,0
4042.2,422.8,34,East,Travel,Debit,POS,0,0
1523.8,2241,19,North,Health,Prepaid,Online,0,0
489.3,344.6,48,South,Travel,Credit,ATM,0,1
3421.5,827.2,36,North,Electronics,Debit,POS,0,0
2201.3,105.1,49,East,Retail,Debit,Online,0,0
611.1,2550.5,45,North,Electronics,Credit,Online,0,0
2476.4,151.7,58,West,Food,Prepaid,Online,0,0
172.9,254.8,25,South,Electronics,Debit,Online,0,0
4546.7,816.7,59,East,Retail,Debit,Online,0,0
1294.6,1444.3,58,North,Food,Debit,Online,0,0
3312.9,965.9,57,West,Health,Debit,ATM,0,0
1559.2,264.1,56,South,Food,Prepaid,Online,0,0
2600.8,0.9,39,North,Travel,Prepaid,Online,0,1
2734,1415.3,41,North,Retail,Credit,POS,0,0
925.1,4213.6,55,East,Travel,Credit,Online,0,0
4848,1660.3,19,West,Electronics,Prepaid,Online,0,0
3875.9,616.6,58,South,Health,Credit,POS,0,0
4697.6,2341,58,North,Retail,Debit,POS,0,0
4474.2,527.4,36,South,Health,Prepaid,Online,1,0
2989.9,744.3,58,West,Retail,Debit,ATM,0,0
4609.4,648.4,19,East,Travel,Prepaid,POS,0,0
443.4,593.5,45,East,Electronics,Prepaid,POS,0,0
980.7,1492.5,49,East,Food,Credit,Online,0,0
227.1,748.2,36,South,Health,Prepaid,POS,0,0
1627.3,380.8,33,South,Retail,Credit,Online,0,1
1944,298.6,47,North,Retail,Prepaid,ATM,0,0
1357.5,38.5,39,West,Health,Debit,ATM,0,0
4143.9,875.1,31,West,Food,Debit,Online,0,0
1784.4,261.3,69,West,Electronics,Debit,ATM,0,0
1405.4,160.3,18,South,Retail,Debit,Online,0,0
2713.9,1060.8,62,East,Retail,Debit,POS,0,0
705.5,1143.2,19,West,Health,Debit,POS,0,0
4011.2,1395,39,North,Health,Prepaid,Online,0,0
373.7,700.3,63,South,Retail,Credit,Online,0,0
4934.4,2244.8,50,East,Retail,Prepaid,POS,0,0
3861.5,2754.2,32,West,Retail,Debit,Online,0,0
994.4,1647,67,East,Travel,Debit,POS,0,0
28.6,1009.5,58,North,Retail,Prepaid,Online,0,0
4077.5,362,39,West,Electronics,Credit,POS,0,0
3534.6,4071.3,57,West,Electronics,Credit,ATM,0,0
3645.3,320.4,56,East,Food,Credit,ATM,0,0
3856.6,226.5,58,South,Health,Credit,POS,0,0
371.1,583.7,58,East,Food,Debit,POS,0,0
1793,58.5,28,North,Retail,Debit,POS,0,0
580.2,3839.4,21,East,Health,Credit,POS,0,0
4315.7,887.8,24,East,Retail,Prepaid,POS,0,0
3116.9,814.1,38,West,Health,Prepaid,ATM,0,0
1655.2,1066.5,24,South,Travel,Debit,POS,0,0
318.7,687.2,21,South,Travel,Prepaid,Online,0,0
1555.6,32.6,29,South,Travel,Debit,ATM,0,0
1626.6,947.6,44,South,Food,Debit,POS,0,0
3648.3,1259.4,34,East,Health,Credit,Online,0,0
3188.1,539.1,37,West,Food,Credit,ATM,1,0
4436.2,1415.9,48,West,Health,Credit,Online,0,1
2361.6,257.5,43,South,Retail,Credit,POS,0,0
598.9,250.1,48,East,Travel,Credit,Online,0,0
3566.5,176,52,South,Travel,Credit,Online,1,0
3804.2,465.2,26,South,Health,Prepaid,ATM,0,0
2806.8,1877.4,22,West,Food,Credit,Online,0,0
3855.1,1759.7,69,West,Food,Credit,Online,1,0
2469.5,482.6,65,South,Electronics,Debit,ATM,0,1
2614.1,889.5,25,East,Travel,Debit,POS,1,0
2138.3,1275.9,38,South,Travel,Credit,Online,0,0
128.1,276,33,West,Food,Debit,POS,0,0
540.3,184.1,68,West,Travel,Prepaid,ATM,0,0
158.1,3579,33,East,Food,Prepaid,POS,1,0
3182.4,961.2,35,South,Electronics,Prepaid,Online,0,0
1572.5,3985.4,64,South,Health,Prepaid,Online,0,0
2543.3,412.1,45,North,Health,Credit,POS,0,1
4537.9,1214.1,35,South,Electronics,Prepaid,POS,0,0
1247.2,251.8,31,East,Travel,Prepaid,Online,0,0
2052.5,302.7,65,West,Retail,Prepaid,ATM,0,0
3778,717.2,54,North,Travel,Prepaid,Online,0,0
1144.8,385.1,57,East,Food,Debit,Online,0,0
385.8,183.5,33,East,Retail,Prepaid,POS,0,0
1449.5,305,38,North,Electronics,Prepaid,Online,0,0
806.9,36.4,18,South,Health,Debit,POS,0,0
4648.6,1218.8,28,North,Health,Debit,ATM,0,0
4040.8,677.5,28,East,Travel,Credit,Online,0,0
3167.4,99,19,South,Health,Debit,ATM,0,0
4357.4,188.4,49,West,Travel,Debit,ATM,0,0
4018.6,108.2,36,North,Food,Debit,Online,0,0
933.7,948.3,22,East,Food,Prepaid,POS,0,0
4462.9,98.9,20,South,Electronics,Credit,POS,0,1
2697.2,1403.6,45,East,Food,Credit,Online,0,0
4037.4,20.7,43,South,Travel,Prepaid,POS,0,0
4480.6,286.9,40,South,Health,Credit,POS,0,0
1590.7,2213.4,47,North,Food,Prepaid,ATM,0,0
551.1,1267.7,25,West,Food,Debit,POS,0,0
1140.4,75.8,53,South,Travel,Prepaid,POS,0,0
2136.1,1721.1,46,East,Food,Prepaid,Online,0,0
4090.3,679.3,30,South,Health,Debit,ATM,0,0
4303.8,1875.9,42,West,Health,Debit,POS,0,0
35.8,918.1,39,East,Health,Credit,Online,1,1
2554.2,1145.2,63,South,Health,Prepaid,POS,0,1
2087.6,5036.2,50,South,Retail,Debit,ATM,0,0
1111.3,264.4,54,North,Health,Credit,ATM,0,0
600.2,978,24,West,Retail,Prepaid,ATM,0,0
1688.7,616.8,40,South,Health,Debit,ATM,0,0
4714.6,40.3,23,West,Health,Debit,ATM,0,0
1616.7,14.6,32,South,Travel,Prepaid,ATM,0,0
2594.4,127,32,East,Health,Debit,Online,0,0
3515.4,1047.2,57,West,Food,Prepaid,ATM,0,1
1818.8,837.4,51,East,Health,Prepaid,POS,0,1
4858.9,806.2,31,West,Electronics,Prepaid,POS,0,0
4812.3,32.4,46,East,Travel,Debit,POS,0,0
1259.7,633.6,33,South,Travel,Debit,POS,0,0
2486.7,2585.3,46,East,Health,Prepaid,ATM,0,0
1505.1,506.8,40,East,Electronics,Credit,ATM,0,0
1424.9,980.6,27,South,Health,Prepaid,Online,0,0
185.4,1513.3,64,West,Food,Prepaid,ATM,0,0
3048.2,1532.1,21,East,Travel,Prepaid,POS,0,0
2513.9,732.5,29,North,Travel,Credit,Online,0,0
258.3,1951.6,59,North,Electronics,Debit,Online,0,0
1394,496.6,51,East,Retail,Debit,Online,0,0
4541.4,2195.5,21,East,Electronics,Prepaid,Online,0,0
1198.6,274.7,37,East,Food,Prepaid,ATM,0,0
725.3,328.8,45,West,Electronics,Debit,Online,0,0
2447.8,54.6,45,South,Retail,Prepaid,ATM,0,0
4928.3,1587.6,23,North,Food,Debit,Online,0,0
1211,539.7,31,North,Food,Credit,ATM,0,0
3361,260.2,52,West,Retail,Prepaid,ATM,0,0
3808.3,263.7,64,East,Health,Debit,POS,0,0
1189,2316.7,18,East,Electronics,Debit,ATM,0,0
3641.4,1795.3,36,South,Food,Credit,Online,0,0
1839.5,806.4,18,South,Electronics,Prepaid,Online,0,0
3161.9,957.4,30,North,Retail,Credit,ATM,0,0
3168,643.1,25,South,Travel,Debit,ATM,0,0
2679.3,497,35,North,Retail,Debit,ATM,0,0
452.4,2470.7,52,West,Electronics,Credit,ATM,1,0
4176.7,134.2,40,East,Food,Credit,POS,0,0
1604.6,542.1,67,East,Electronics,Credit,POS,0,0
933.4,422.5,69,North,Travel,Prepaid,POS,0,0
204.8,689.5,43,East,Food,Debit,POS,0,0
2954.9,611.8,58,West,Travel,Prepaid,POS,0,0
3388.1,731.7,55,South,Health,Prepaid,ATM,0,0
83.9,150.7,37,West,Retail,Credit,POS,0,0
2561,719.8,19,East,Health,Prepaid,POS,0,0
1133.3,277.6,43,West,Electronics,Prepaid,ATM,0,0
3226.2,203.7,53,East,Health,Credit,ATM,0,0
872.7,67,42,North,Retail,Credit,Online,0,1
3455,1438.2,47,South,Food,Credit,Online,0,0
1934.3,557.6,35,South,Travel,Debit,Online,0,0
4683.7,985.2,24,East,Food,Debit,POS,0,0
688.5,1300.5,44,East,Health,Prepaid,ATM,0,0
1706,1137.3,28,South,Electronics,Prepaid,Online,0,0
568.3,635.8,54,West,Health,Debit,Online,0,0
4623.5,490.9,25,West,Retail,Prepaid,POS,0,0
4386.8,471.5,28,West,Retail,Credit,Online,0,0
1290.5,1021.8,41,South,Electronics,Debit,ATM,0,0
3300.3,682.8,47,North,Food,Prepaid,ATM,0,0
4086.3,1891.4,47,East,Retail,Prepaid,Online,0,0
2776.4,2077.1,69,East,Retail,Prepaid,ATM,0,0
2648.7,187,69,South,Electronics,Debit,Online,0,0
1210,146.5,32,North,Food,Debit,Online,0,0
466.4,995.3,52,South,Health,Debit,ATM,0,0
4486.2,358.4,56,West,Travel,Credit,ATM,0,0
4502.2,18.7,41,West,Electronics,Prepaid,POS,0,0
3165.9,2195,25,East,Food,Prepaid,POS,1,0
1695.8,257.3,60,East,Travel,Credit,Online,0,0
1746.7,2649,59,East,Electronics,Debit,ATM,0,0
3630.1,1263.8,37,East,Health,Debit,Online,0,0
4485.7,1438.2,58,West,Health,Debit,POS,0,0
4435.5,225,64,West,Food,Credit,Online,0,0
3899.6,266.8,43,North,Food,Prepaid,ATM,0,0
3210.5,736.6,69,East,Health,Credit,ATM,0,0
421.6,188.9,41,South,Health,Prepaid,POS,0,1
809,364.5,39,North,Electronics,Prepaid,Online,0,0
4492.9,387.8,22,North,Food,Prepaid,Online,0,0
3032.5,173.9,32,West,Travel,Credit,ATM,0,0
47,229.6,53,East,Health,Debit,POS,1,0
508.3,1553.8,54,North,Travel,Debit,ATM,0,0
3317.8,183,46,East,Food,Credit,ATM,0,0
26.3,28.9,32,West,Food,Prepaid,POS,0,0
804.9,992.5,44,North,Retail,Credit,ATM,0,0
2744.1,3729,66,North,Health,Debit,Online,0,0
3459.8,402.3,25,South,Food,Credit,Online,0,0
3260.2,126.3,46,West,Food,Prepaid,Online,0,0
1122.1,844.9,36,South,Health,Debit,ATM,0,0
3561.2,2368.2,48,West,Retail,Prepaid,POS,0,0
1187,1532.8,26,South,Retail,Credit,POS,0,0
1627.7,974.2,27,West,Retail,Prepaid,POS,0,0
3732.7,378.4,54,West,Retail,Credit,POS,0,0
3248.5,780.6,27,North,Electronics,Debit,POS,0,0
4246.3,95.7,50,South,Health,Debit,ATM,0,0
3288.4,1136.1,42,South,Health,Debit,POS,0,0
2842,1291.3,21,South,Health,Prepaid,Online,0,0
469.3,3353.3,22,North,Retail,Credit,ATM,0,0
1839.2,301.6,40,East,Retail,Credit,Online,1,0
1326.7,18.6,56,West,Food,Credit,POS,0,0
1220.7,788.8,22,South,Electronics,Prepaid,POS,0,0
4865.1,1226.9,69,West,Health,Credit,Online,0,1
1966.1,1562.6,25,North,Electronics,Debit,Online,0,1
4460.3,215.3,34,West,Health,Credit,ATM,0,0
3156.1,303.5,18,North,Retail,Prepaid,POS,0,0
3974.3,718.7,67,East,Retail,Debit,POS,0,0
2513.7,401.4,29,South,Health,Debit,POS,0,0
2884.9,1969.8,52,North,Travel,Prepaid,Online,0,0
2463.1,642,69,West,Retail,Debit,POS,0,0
977,1607.3,31,North,Food,Credit,ATM,0,0
3612.5,869,65,North,Retail,Prepaid,ATM,0,0
1404.6,1483.2,35,East,Food,Credit,Online,0,0
122.6,404.5,27,South,Electronics,Prepaid,Online,0,0
3227.7,1780.3,32,North,Retail,Prepaid,ATM,0,0
886.4,321,59,North,Retail,Prepaid,Online,0,0
4702.4,789.9,50,West,Electronics,Credit,Online,0,1
4769.7,240.8,36,North,Food,Prepaid,POS,0,0
4574.4,645.4,51,North,Travel,Debit,ATM,0,0
1851.4,383,62,South,Food,Credit,POS,0,0
78.3,310.2,42,South,Health,Prepaid,ATM,0,0
4641.7,3410.8,33,West,Health,Prepaid,POS,0,0
2141.5,174.4,25,North,Health,Credit,ATM,0,0
4833.3,1548,52,North,Electronics,Debit,ATM,0,0
4818.1,4145.5,38,North,Food,Debit,ATM,0,0
4265.2,20.1,36,East,Retail,Prepaid,Online,0,0
1473,1200.7,63,East,Health,Prepaid,POS,0,0
1926.1,291.6,28,West,Food,Debit,Online,0,0
4255.8,41.3,61,East,Retail,Prepaid,Online,0,0
1585.3,515.7,28,West,Food,Debit,ATM,0,0
848.3,2736.7,28,North,Electronics,Debit,ATM,0,0
2784.4,11.8,39,East,Health,Debit,Online,0,0
4680.8,886.5,38,South,Travel,Debit,Online,0,0
3480.5,695.9,44,East,Health,Prepaid,Online,0,0
2850.7,2066.6,35,North,Health,Credit,ATM,0,0
486.8,87.7,59,South,Electronics,Credit,ATM,0,0
3075.4,1144.2,65,West,Retail,Debit,ATM,0,0
4950.3,1139.8,57,North,Health,Prepaid,POS,0,1
701.3,1105.9,55,South,Retail,Credit,Online,0,0
2592.1,2853.1,47,East,Retail,Credit,Online,0,0
4387,1732.1,68,West,Electronics,Debit,POS,0,0
3704.1,42.9,62,East,Health,Debit,Online,0,0
3485.4,636.9,64,South,Electronics,Prepaid,Online,0,0
3512.7,507.4,62,South,Electronics,Credit,Online,1,0
1798.1,371.3,50,North,Travel,Debit,POS,0,0
1468.7,600.3,38,West,Electronics,Debit,POS,0,0
4047,484.8,19,West,Travel,Prepaid,Online,0,0
4050.8,566.2,30,South,Retail,Debit,ATM,0,0
4335.5,3875.8,19,North,Retail,Debit,Online,0,0
4566.3,92.8,60,South,Food,Debit,Online,0,0
2557.2,2554,62,South,Food,Debit,ATM,0,0
2508.1,654.4,48,West,Retail,Debit,Online,0,0
3991.7,977.5,27,East,Health,Prepaid,Online,0,0
3250.2,1773,40,East,Food,Debit,POS,0,0
3510.1,447,39,West,Electronics,Credit,Online,0,0
3979.2,562.9,64,North,Food,Debit,ATM,0,0
4450.1,526.8,46,West,Retail,Debit,POS,0,0
1690.6,469.6,50,North,Health,Credit,POS,0,0
1878.5,2597.3,48,West,Retail,Credit,ATM,0,0
470.8,1765.7,31,North,Health,Debit,ATM,0,0
2891.8,115.4,27,South,Food,Prepaid,POS,0,0
180.7,114.4,35,South,Electronics,Credit,Online,0,0
2328.5,558.4,28,North,Electronics,Prepaid,Online,0,0
2713.7,103.9,56,West,Retail,Debit,POS,0,0
1433.4,965.2,64,South,Health,Debit,Online,0,0
2954.6,155.1,20,West,Food,Credit,POS,0,0
153.5,738.9,19,East,Health,Credit,ATM,0,0
187.7,7.2,25,South,Health,Prepaid,Online,0,1
4113.2,380.7,48,West,Health,Debit,Online,0,0
1801.6,1130.7,25,West,Food,Credit,POS,0,1
636.2,661.7,60,East,Health,Credit,POS,0,0
2611.7,3829,65,West,Electronics,Credit,Online,0,0
3850.2,2072.3,19,North,Retail,Prepaid,Online,0,0
1079.9,444.8,39,South,Travel,Debit,Online,0,0
3114.8,46.6,22,North,Health,Credit,ATM,0,0
427.7,1868.4,24,East,Electronics,Credit,Online,0,0
259.4,2421.8,37,North,Electronics,Credit,Online,0,0
2657.2,1718.3,45,West,Retail,Debit,POS,0,0
2703.6,136.9,30,East,Retail,Prepaid,ATM,0,0
3187.5,6173.1,19,East,Travel,Prepaid,POS,1,0
3630.7,299.2,49,North,Travel,Debit,Online,0,0
4879.3,1288.1,43,East,Travel,Prepaid,ATM,0,0
2582,2386.3,20,North,Food,Prepaid,Online,0,0
1615.5,268.8,58,North,Food,Credit,ATM,0,1
3976.1,2388.8,59,North,Electronics,Prepaid,ATM,0,0
1354.9,370.3,30,East,Retail,Credit,ATM,0,0
2195.4,3747.1,38,East,Health,Prepaid,ATM,0,0
393.2,330.3,62,South,Retail,Credit,ATM,0,0
127.7,3066.9,54,North,Food,Debit,ATM,0,0
4813.3,55,40,North,Electronics,Debit,POS,0,0
4180.1,1235.4,24,North,Health,Prepaid,POS,0,0
3480.2,759.5,34,North,Travel,Credit,Online,0,0
2045.4,649.9,45,North,Travel,Debit,ATM,0,0
867.3,253,64,North,Food,Debit,ATM,0,0
